1 [1, 67, 0, 0, 0, 0, 0, 0]
2 [1, 67, 67, 0, 0, 0, 0, 0]
3 [1, 67, 67, 0, 0, 0, 0, 0]
5 [1, 6700, 67, 0, 0, 0, 0, 0]
6 [1, 106700, 67, 0, 0, 0, 0, 0]
7 [1, 106700, 106700, 0, 0, 0, 0, 0]
8 [1, 106700, 123700, 0, 0, 0, 0, 0]
9 [1, 106700, 123700, 0, 0, 1, 0, 0]
10 [1, 106700, 123700, 2, 0, 1, 0, 0]
11 [1, 106700, 123700, 2, 2, 1, 0, 0]
12 [1, 106700, 123700, 2, 2, 1, 2, 0]
13 [1, 106700, 123700, 2, 2, 1, 4, 0]
14 [1, 106700, 123700, 2, 2, 1, -106696, 0]
15 [1, 106700, 123700, 2, 2, 1, -106696, 0]
17 [1, 106700, 123700, 2, 3, 1, -106696, 0]
18 [1, 106700, 123700, 2, 3, 1, 3, 0]
19 [1, 106700, 123700, 2, 3, 1, -106697, 0]
20 [1, 106700, 123700, 2, 3, 1, -106697, 0]
12 [1, 106700, 123700, 2, 3, 1, 2, 0]
13 [1, 106700, 123700, 2, 3, 1, 6, 0]
14 [1, 106700, 123700, 2, 3, 1, -106694, 0]
15 [1, 106700, 123700, 2, 3, 1, -106694, 0]
17 [1, 106700, 123700, 2, 4, 1, -106694, 0]
18 [1, 106700, 123700, 2, 4, 1, 4, 0]
19 [1, 106700, 123700, 2, 4, 1, -106696, 0]
20 [1, 106700, 123700, 2, 4, 1, -106696, 0]
12 [1, 106700, 123700, 2, 4, 1, 2, 0]
13 [1, 106700, 123700, 2, 4, 1, 8, 0]
14 [1, 106700, 123700, 2, 4, 1, -106692, 0]
15 [1, 106700, 123700, 2, 4, 1, -106692, 0]
17 [1, 106700, 123700, 2, 5, 1, -106692, 0]
18 [1, 106700, 123700, 2, 5, 1, 5, 0]
19 [1, 106700, 123700, 2, 5, 1, -106695, 0]
20 [1, 106700, 123700, 2, 5, 1, -106695, 0]
12 [1, 106700, 123700, 2, 5, 1, 2, 0]
13 [1, 106700, 123700, 2, 5, 1, 10, 0]
14 [1, 106700, 123700, 2, 5, 1, -106690, 0]
15 [1, 106700, 123700, 2, 5, 1, -106690, 0]
17 [1, 106700, 123700, 2, 6, 1, -106690, 0]
18 [1, 106700, 123700, 2, 6, 1, 6, 0]
19 [1, 106700, 123700, 2, 6, 1, -106694, 0]
20 [1, 106700, 123700, 2, 6, 1, -106694, 0]
12 [1, 106700, 123700, 2, 6, 1, 2, 0]
13 [1, 106700, 123700, 2, 6, 1, 12, 0]
14 [1, 106700, 123700, 2, 6, 1, -106688, 0]
15 [1, 106700, 123700, 2, 6, 1, -106688, 0]
17 [1, 106700, 123700, 2, 7, 1, -106688, 0]
18 [1, 106700, 123700, 2, 7, 1, 7, 0]
19 [1, 106700, 123700, 2, 7, 1, -106693, 0]
20 [1, 106700, 123700, 2, 7, 1, -106693, 0]
12 [1, 106700, 123700, 2, 7, 1, 2, 0]
13 [1, 106700, 123700, 2, 7, 1, 14, 0]
14 [1, 106700, 123700, 2, 7, 1, -106686, 0]
15 [1, 106700, 123700, 2, 7, 1, -106686, 0]
17 [1, 106700, 123700, 2, 8, 1, -106686, 0]
18 [1, 106700, 123700, 2, 8, 1, 8, 0]
19 [1, 106700, 123700, 2, 8, 1, -106692, 0]
20 [1, 106700, 123700, 2, 8, 1, -106692, 0]
12 [1, 106700, 123700, 2, 8, 1, 2, 0]
13 [1, 106700, 123700, 2, 8, 1, 16, 0]
14 [1, 106700, 123700, 2, 8, 1, -106684, 0]
15 [1, 106700, 123700, 2, 8, 1, -106684, 0]
17 [1, 106700, 123700, 2, 9, 1, -106684, 0]
18 [1, 106700, 123700, 2, 9, 1, 9, 0]
19 [1, 106700, 123700, 2, 9, 1, -106691, 0]
20 [1, 106700, 123700, 2, 9, 1, -106691, 0]
12 [1, 106700, 123700, 2, 9, 1, 2, 0]
13 [1, 106700, 123700, 2, 9, 1, 18, 0]
14 [1, 106700, 123700, 2, 9, 1, -106682, 0]
15 [1, 106700, 123700, 2, 9, 1, -106682, 0]
17 [1, 106700, 123700, 2, 10, 1, -106682, 0]
18 [1, 106700, 123700, 2, 10, 1, 10, 0]
19 [1, 106700, 123700, 2, 10, 1, -106690, 0]
20 [1, 106700, 123700, 2, 10, 1, -106690, 0]
12 [1, 106700, 123700, 2, 10, 1, 2, 0]
13 [1, 106700, 123700, 2, 10, 1, 20, 0]
14 [1, 106700, 123700, 2, 10, 1, -106680, 0]
15 [1, 106700, 123700, 2, 10, 1, -106680, 0]
17 [1, 106700, 123700, 2, 11, 1, -106680, 0]
18 [1, 106700, 123700, 2, 11, 1, 11, 0]
19 [1, 106700, 123700, 2, 11, 1, -106689, 0]
20 [1, 106700, 123700, 2, 11, 1, -106689, 0]
12 [1, 106700, 123700, 2, 11, 1, 2, 0]
13 [1, 106700, 123700, 2, 11, 1, 22, 0]
14 [1, 106700, 123700, 2, 11, 1, -106678, 0]
15 [1, 106700, 123700, 2, 11, 1, -106678, 0]
17 [1, 106700, 123700, 2, 12, 1, -106678, 0]
18 [1, 106700, 123700, 2, 12, 1, 12, 0]
19 [1, 106700, 123700, 2, 12, 1, -106688, 0]
20 [1, 106700, 123700, 2, 12, 1, -106688, 0]
12 [1, 106700, 123700, 2, 12, 1, 2, 0]
13 [1, 106700, 123700, 2, 12, 1, 24, 0]
14 [1, 106700, 123700, 2, 12, 1, -106676, 0]
15 [1, 106700, 123700, 2, 12, 1, -106676, 0]
17 [1, 106700, 123700, 2, 13, 1, -106676, 0]
18 [1, 106700, 123700, 2, 13, 1, 13, 0]
19 [1, 106700, 123700, 2, 13, 1, -106687, 0]
20 [1, 106700, 123700, 2, 13, 1, -106687, 0]
12 [1, 106700, 123700, 2, 13, 1, 2, 0]
13 [1, 106700, 123700, 2, 13, 1, 26, 0]
14 [1, 106700, 123700, 2, 13, 1, -106674, 0]
15 [1, 106700, 123700, 2, 13, 1, -106674, 0]
17 [1, 106700, 123700, 2, 14, 1, -106674, 0]
18 [1, 106700, 123700, 2, 14, 1, 14, 0]
19 [1, 106700, 123700, 2, 14, 1, -106686, 0]
20 [1, 106700, 123700, 2, 14, 1, -106686, 0]
12 [1, 106700, 123700, 2, 14, 1, 2, 0]
13 [1, 106700, 123700, 2, 14, 1, 28, 0]
14 [1, 106700, 123700, 2, 14, 1, -106672, 0]
15 [1, 106700, 123700, 2, 14, 1, -106672, 0]
17 [1, 106700, 123700, 2, 15, 1, -106672, 0]
18 [1, 106700, 123700, 2, 15, 1, 15, 0]
19 [1, 106700, 123700, 2, 15, 1, -106685, 0]
20 [1, 106700, 123700, 2, 15, 1, -106685, 0]
12 [1, 106700, 123700, 2, 15, 1, 2, 0]
13 [1, 106700, 123700, 2, 15, 1, 30, 0]
14 [1, 106700, 123700, 2, 15, 1, -106670, 0]
15 [1, 106700, 123700, 2, 15, 1, -106670, 0]
17 [1, 106700, 123700, 2, 16, 1, -106670, 0]
18 [1, 106700, 123700, 2, 16, 1, 16, 0]
19 [1, 106700, 123700, 2, 16, 1, -106684, 0]
20 [1, 106700, 123700, 2, 16, 1, -106684, 0]
12 [1, 106700, 123700, 2, 16, 1, 2, 0]
13 [1, 106700, 123700, 2, 16, 1, 32, 0]
14 [1, 106700, 123700, 2, 16, 1, -106668, 0]
15 [1, 106700, 123700, 2, 16, 1, -106668, 0]
17 [1, 106700, 123700, 2, 17, 1, -106668, 0]
18 [1, 106700, 123700, 2, 17, 1, 17, 0]
19 [1, 106700, 123700, 2, 17, 1, -106683, 0]
20 [1, 106700, 123700, 2, 17, 1, -106683, 0]
12 [1, 106700, 123700, 2, 17, 1, 2, 0]
13 [1, 106700, 123700, 2, 17, 1, 34, 0]
14 [1, 106700, 123700, 2, 17, 1, -106666, 0]
15 [1, 106700, 123700, 2, 17, 1, -106666, 0]
17 [1, 106700, 123700, 2, 18, 1, -106666, 0]
18 [1, 106700, 123700, 2, 18, 1, 18, 0]
19 [1, 106700, 123700, 2, 18, 1, -106682, 0]
20 [1, 106700, 123700, 2, 18, 1, -106682, 0]
12 [1, 106700, 123700, 2, 18, 1, 2, 0]
13 [1, 106700, 123700, 2, 18, 1, 36, 0]
14 [1, 106700, 123700, 2, 18, 1, -106664, 0]
15 [1, 106700, 123700, 2, 18, 1, -106664, 0]
17 [1, 106700, 123700, 2, 19, 1, -106664, 0]
18 [1, 106700, 123700, 2, 19, 1, 19, 0]
19 [1, 106700, 123700, 2, 19, 1, -106681, 0]
20 [1, 106700, 123700, 2, 19, 1, -106681, 0]
12 [1, 106700, 123700, 2, 19, 1, 2, 0]
13 [1, 106700, 123700, 2, 19, 1, 38, 0]
14 [1, 106700, 123700, 2, 19, 1, -106662, 0]
15 [1, 106700, 123700, 2, 19, 1, -106662, 0]
17 [1, 106700, 123700, 2, 20, 1, -106662, 0]
18 [1, 106700, 123700, 2, 20, 1, 20, 0]
19 [1, 106700, 123700, 2, 20, 1, -106680, 0]
20 [1, 106700, 123700, 2, 20, 1, -106680, 0]
12 [1, 106700, 123700, 2, 20, 1, 2, 0]
13 [1, 106700, 123700, 2, 20, 1, 40, 0]
14 [1, 106700, 123700, 2, 20, 1, -106660, 0]
15 [1, 106700, 123700, 2, 20, 1, -106660, 0]
17 [1, 106700, 123700, 2, 21, 1, -106660, 0]
18 [1, 106700, 123700, 2, 21, 1, 21, 0]
19 [1, 106700, 123700, 2, 21, 1, -106679, 0]
20 [1, 106700, 123700, 2, 21, 1, -106679, 0]
12 [1, 106700, 123700, 2, 21, 1, 2, 0]
13 [1, 106700, 123700, 2, 21, 1, 42, 0]
14 [1, 106700, 123700, 2, 21, 1, -106658, 0]
15 [1, 106700, 123700, 2, 21, 1, -106658, 0]
17 [1, 106700, 123700, 2, 22, 1, -106658, 0]
18 [1, 106700, 123700, 2, 22, 1, 22, 0]
19 [1, 106700, 123700, 2, 22, 1, -106678, 0]
20 [1, 106700, 123700, 2, 22, 1, -106678, 0]
12 [1, 106700, 123700, 2, 22, 1, 2, 0]
13 [1, 106700, 123700, 2, 22, 1, 44, 0]
14 [1, 106700, 123700, 2, 22, 1, -106656, 0]
15 [1, 106700, 123700, 2, 22, 1, -106656, 0]
17 [1, 106700, 123700, 2, 23, 1, -106656, 0]
18 [1, 106700, 123700, 2, 23, 1, 23, 0]
19 [1, 106700, 123700, 2, 23, 1, -106677, 0]
20 [1, 106700, 123700, 2, 23, 1, -106677, 0]
12 [1, 106700, 123700, 2, 23, 1, 2, 0]
13 [1, 106700, 123700, 2, 23, 1, 46, 0]
14 [1, 106700, 123700, 2, 23, 1, -106654, 0]
15 [1, 106700, 123700, 2, 23, 1, -106654, 0]
17 [1, 106700, 123700, 2, 24, 1, -106654, 0]
18 [1, 106700, 123700, 2, 24, 1, 24, 0]
19 [1, 106700, 123700, 2, 24, 1, -106676, 0]
20 [1, 106700, 123700, 2, 24, 1, -106676, 0]
12 [1, 106700, 123700, 2, 24, 1, 2, 0]
13 [1, 106700, 123700, 2, 24, 1, 48, 0]
14 [1, 106700, 123700, 2, 24, 1, -106652, 0]
15 [1, 106700, 123700, 2, 24, 1, -106652, 0]
17 [1, 106700, 123700, 2, 25, 1, -106652, 0]
18 [1, 106700, 123700, 2, 25, 1, 25, 0]
19 [1, 106700, 123700, 2, 25, 1, -106675, 0]
20 [1, 106700, 123700, 2, 25, 1, -106675, 0]
12 [1, 106700, 123700, 2, 25, 1, 2, 0]
13 [1, 106700, 123700, 2, 25, 1, 50, 0]
14 [1, 106700, 123700, 2, 25, 1, -106650, 0]
15 [1, 106700, 123700, 2, 25, 1, -106650, 0]
17 [1, 106700, 123700, 2, 26, 1, -106650, 0]
18 [1, 106700, 123700, 2, 26, 1, 26, 0]
19 [1, 106700, 123700, 2, 26, 1, -106674, 0]
20 [1, 106700, 123700, 2, 26, 1, -106674, 0]
12 [1, 106700, 123700, 2, 26, 1, 2, 0]
13 [1, 106700, 123700, 2, 26, 1, 52, 0]
14 [1, 106700, 123700, 2, 26, 1, -106648, 0]
15 [1, 106700, 123700, 2, 26, 1, -106648, 0]
17 [1, 106700, 123700, 2, 27, 1, -106648, 0]
18 [1, 106700, 123700, 2, 27, 1, 27, 0]
19 [1, 106700, 123700, 2, 27, 1, -106673, 0]
20 [1, 106700, 123700, 2, 27, 1, -106673, 0]
12 [1, 106700, 123700, 2, 27, 1, 2, 0]
13 [1, 106700, 123700, 2, 27, 1, 54, 0]
14 [1, 106700, 123700, 2, 27, 1, -106646, 0]
15 [1, 106700, 123700, 2, 27, 1, -106646, 0]
17 [1, 106700, 123700, 2, 28, 1, -106646, 0]
18 [1, 106700, 123700, 2, 28, 1, 28, 0]
19 [1, 106700, 123700, 2, 28, 1, -106672, 0]
